Najdan Krstajić
Milijana Mitranić
Poleksija Rajčetić
Nevena Kunjadić
Krsman Kisić
Časlav Gadžurić
Trivun Galić
Zaga Smiljkić
Dobrašin Nikolešić
Radenko Buckić
Emilijan Tomecić
Bogosav Bajčetić
Jakša Malinić
Ratimir Janojkić
Tomanija Regulić
Budimir Vulešić
Ninoslav Šantrić
Golub Vujić
Sekula Roknić
Igor Ljotić
Ceca Bocokić
Milisav Antić
Stojan Leontić
Budislav Tešankić
Snežana Abadić
Živomir Kevkić
Lazar Tutulić
Božidar Nježić
Grujica Milakić
Mijalko Kerebić
Stoja Vrugić
Vidak Bodić
Petar Dragonjić
Milija Malukić
Vujadin Udovičić
Čedomir Jerinić
Radmilo Stević
Stanko Abadžić
Hranislava Zaburnić
Mladomir Šterić
Velimir Kljakić
Blagomir Rogošić
Vladanka Jašić
Ćira Trumić
Tina Aksentić
Nedeljko Jalić
Uranko Kitonjić
Borka Dubić
Žaklina Bralić
Ćana Gorčić
Kosta Mićić
Žarko Radunčić
Dositej Batić
Miloje Lipovčić
Teofan Malukić
Dragoljub Bosić
Žaklina Stolić
Zdravka Đuričić
Dušica Plazinić
Mirosava Krestić
Hranislavka Savičić
Tiosav Kordić
Dejan Jančić
Luka Bralić
Višnja Inić
Velibor Ševkušić
Sava Grubetić
Milojko Diklić
Kostadinka Spasić
Vukajlo Kulić
Vukadinka Ravić
Roksanda Ilkić
Vukajlo Leposavić
Obren Furtunić
Trajanka Kiselčić
Leonora Kolorogić
Stanislav Tmušić
Teodora Novčić
Zora Kuzmić
Vidak Pušonjić
Sima Loncić
Damjan Zakić
Svetislav Dinjičić
Lola Ničić
Nevena Kusonjić
Vujadin Grabljić
Ruzmirka Prokić
Desimir Lugonjić
Svetislavka Lentić
Zlatoslav Jovelić
Dobroslavka Dogandžić
Ćile Rasulić
Isidora Bavrlić
Nada Planić
Anđelko Kulezić
Milovan Štetić
Sredoje Borčić
Timotije Videkanić
Stanika Tadić
Radinka Komarčić
Todora Stejanić
Petra Žigić
Ljubomirka Malić
Vojislava Vilotić
Metodije Srebrić
Živorad Bradonjić
Ljuba Klašnjić
Mitra Košprdić
Lucija Đurbabić
Caja Srnić
Momcilo Canić
Selimir Trikić
Drago Kentrić
Radonja Šipčić
Zlatoslav Bosić
Jagoš Janketić
Rafailo Gegić
Rafailo Hristić
Prohor Buzdokić
Njegomir Parojčić
Julka Delić
Ljuba Pudarić
Svetomir Pajagić
Blaženka Tešanić
Kuzman Brukić
Viktor Šipragić
Soka Čović
Prvoslavka Ćendić
Radojica Ibrić
Slaviša Čubrić
Julijan Pavelkić
Aleksandar Trudić
Stefan Abadić
Stanislava Blažarić
Ninoslav Čonjagić
Jovan Makragić
Toma Suvajdžić
Tomislav Srzentić
Miladin Lazetić
Filipa Sladić
Stamena Rebić
Cana Bantulić
Živadinka Arsekić
Radivoj Mitranić
Joksim Bataveljić
Lazar Backić
Radoš Seničić
Kadivka Hadži Nikolić
Časlavka Malenčić
Prodan Dovijanić
Jakov Todorčić
Velinka Markišić
Jela Ćipranić
Todora Milojkić
Đurađ Mašić
Kojadin Rajić
Sotir Maćešić
Cvijetin Paucić
Olivera Broćić
Radivojka Kozić
Peladija Ljubavić
Branimir Šipragić
Veliborka Bašić
Strajin Prelić
Tada Dorontić
Lucija Nevajdić
Steva Ananić
Zorana Glumičić
Irena Jovalekić
Danojlo Ranđić
Igor Borčić
Leonora Čičkarić
Radonja Tešankić
Jagoš Srdić
Obrenija Grdinić
Sava Šagić
Stevan Kitanić
Aco Đenić
